iter	Passed	Remaining
0	140	140036
1	146	73294
2	156	51963
3	161	40119
4	168	33457
5	173	28663
6	183	25963
7	187	23198
8	192	21174
9	199	19720
10	212	19072
11	216	17794
12	220	16711
13	224	15784
14	228	14984
15	231	14213
16	233	13481
17	235	12830
18	237	12248
19	240	11801
20	242	11322
21	244	10882
22	246	10473
23	248	10098
24	250	9755
25	253	9506
26	255	9211
27	257	8940
28	259	8700
29	261	8467
30	264	8252
31	268	8133
32	271	7942
33	273	7766
34	279	7707
35	284	7615
36	286	7467
37	289	7334
38	300	7396
39	304	7304
40	307	7192
41	312	7131
42	317	7075
43	320	6959
44	322	6843
45	328	6821
46	333	6758
47	336	6665
48	342	6652
49	346	6589
50	349	6511
51	356	6499
52	360	6433
53	364	6378
54	366	6299
55	372	6279
56	377	6248
57	383	6228
58	386	6161
59	389	6106
60	393	6051
61	398	6027
62	401	5971
63	404	5916
64	432	6215
65	445	6301
66	453	6310
67	461	6324
68	464	6268
69	466	6203
70	472	6177
71	478	6169
72	481	6111
73	483	6048
74	485	5989
75	487	5930
76	490	5883
77	493	5834
78	496	5783
79	498	5730
80	500	5678
81	503	5633
82	505	5588
83	508	5541
84	510	5497
85	513	5452
86	515	5406
87	518	5373
88	521	5333
89	523	5298
90	526	5254
91	528	5212
92	530	5172
93	532	5132
94	535	5097
95	537	5061
96	539	5024
97	542	4988
98	545	4965
99	548	4939
100	551	4906
101	553	4873
102	555	4839
103	557	4806
104	560	4773
105	563	4753
106	566	4727
107	569	4700
108	571	4670
109	573	4640
110	576	4619
111	579	4591
112	581	4563
113	583	4537
114	586	4510
115	589	4489
116	591	4465
117	593	4439
118	596	4415
119	599	4393
120	601	4371
121	603	4345
122	608	4339
123	613	4331
124	615	4310
125	618	4289
126	622	4279
127	625	4263
128	629	4248
129	633	4238
130	639	4242
131	644	4235
132	646	4216
133	648	4193
134	658	4219
135	661	4199
136	663	4178
137	666	4160
138	669	4148
139	672	4133
140	675	4112
141	676	4087
142	678	4067
143	681	4052
144	684	4033
145	687	4019
146	689	4001
147	691	3983
148	694	3964
149	698	3958
150	701	3943
151	703	3926
152	708	3922
153	711	3907
154	713	3892
155	716	3875
156	719	3862
157	724	3858
158	726	3842
159	730	3834
160	732	3818
161	736	3808
162	741	3805
163	743	3790
164	746	3776
165	748	3759
166	750	3743
167	754	3738
168	757	3726
169	760	3710
170	762	3695
171	764	3681
172	768	3672
173	771	3662
174	773	3647
175	776	3634
176	786	3654
177	788	3640
178	790	3625
179	792	3610
180	794	3595
181	797	3586
182	800	3572
183	802	3560
184	805	3546
185	807	3532
186	809	3518
187	812	3508
188	815	3499
189	818	3489
190	820	3476
191	822	3462
192	825	3450
193	829	3448
194	833	3439
195	835	3426
196	837	3413
197	839	3400
198	844	3397
199	847	3389
200	849	3378
201	852	3367
202	854	3356
203	861	3361
204	863	3349
205	865	3337
206	868	3327
207	872	3320
208	875	3312
209	877	3302
210	880	3292
211	884	3286
212	889	3286
213	894	3284
214	897	3276
215	900	3267
216	904	3262
217	906	3253
218	908	3241
219	911	3231
220	915	3227
221	918	3217
222	920	3207
223	922	3196
224	924	3185
225	927	3177
226	932	3176
227	935	3168
228	940	3164
229	948	3175
230	951	3166
231	954	3159
232	959	3158
233	962	3150
234	965	3143
235	975	3158
236	978	3149
237	980	3140
238	984	3133
239	993	3146
240	996	3137
241	999	3129
242	1001	3121
243	1007	3121
244	1010	3113
245	1013	3105
246	1017	3101
247	1020	3093
248	1022	3084
249	1025	3077
250	1028	3067
251	1030	3059
252	1033	3052
253	1036	3043
254	1038	3033
255	1040	3023
256	1042	3014
257	1044	3004
258	1047	2996
259	1049	2987
260	1051	2978
261	1054	2969
262	1056	2959
263	1058	2951
264	1061	2944
265	1063	2935
266	1065	2926
267	1067	2916
268	1069	2907
269	1071	2897
270	1073	2888
271	1076	2881
272	1078	2872
273	1080	2863
274	1082	2854
275	1084	2845
276	1086	2836
277	1089	2828
278	1091	2821
279	1093	2813
280	1095	2804
281	1097	2795
282	1099	2786
283	1101	2777
284	1105	2772
285	1107	2764
286	1109	2756
287	1111	2747
288	1113	2739
289	1115	2731
290	1117	2723
291	1120	2716
292	1122	2708
293	1124	2700
294	1126	2692
295	1128	2684
296	1130	2676
297	1133	2670
298	1136	2663
299	1138	2655
300	1140	2648
301	1142	2640
302	1144	2632
303	1146	2625
304	1149	2620
305	1151	2612
306	1153	2604
307	1155	2596
308	1157	2589
309	1159	2581
310	1162	2576
311	1165	2569
312	1167	2561
313	1169	2554
314	1171	2546
315	1173	2539
316	1175	2531
317	1178	2528
318	1180	2521
319	1182	2513
320	1184	2506
321	1186	2499
322	1189	2492
323	1194	2491
324	1197	2486
325	1199	2480
326	1201	2473
327	1204	2467
328	1210	2469
329	1213	2463
330	1215	2456
331	1217	2450
332	1220	2444
333	1224	2442
334	1228	2438
335	1230	2432
336	1232	2425
337	1238	2425
338	1240	2418
339	1243	2412
340	1245	2407
341	1247	2400
342	1254	2403
343	1258	2400
344	1261	2395
345	1266	2394
346	1269	2388
347	1271	2382
348	1274	2376
349	1276	2370
350	1278	2364
351	1283	2361
352	1285	2356
353	1288	2350
354	1290	2344
355	1293	2339
356	1299	2340
357	1302	2335
358	1304	2329
359	1308	2326
360	1313	2324
361	1315	2318
362	1318	2313
363	1320	2308
364	1324	2304
365	1327	2300
366	1331	2296
367	1333	2290
368	1339	2290
369	1342	2285
370	1345	2280
371	1347	2274
372	1349	2268
373	1353	2266
374	1357	2261
375	1359	2256
376	1361	2250
377	1364	2245
378	1369	2243
379	1373	2240
380	1375	2234
381	1377	2228
382	1379	2223
383	1382	2218
384	1387	2216
385	1390	2212
386	1393	2206
387	1395	2200
388	1398	2196
389	1402	2192
390	1404	2187
391	1406	2180
392	1407	2174
393	1409	2167
394	1411	2161
395	1414	2157
396	1416	2152
397	1418	2146
398	1420	2139
399	1422	2133
400	1423	2126
401	1425	2120
402	1428	2115
403	1430	2110
404	1432	2104
405	1433	2097
406	1435	2091
407	1436	2084
408	1438	2078
409	1440	2072
410	1442	2067
411	1444	2062
412	1446	2056
413	1448	2050
414	1449	2043
415	1451	2037
416	1452	2031
417	1454	2025
418	1456	2019
419	1459	2015
420	1461	2009
421	1462	2003
422	1464	1997
423	1465	1991
424	1467	1985
425	1468	1979
426	1471	1974
427	1474	1970
428	1476	1964
429	1477	1958
430	1479	1952
431	1481	1947
432	1483	1942
433	1489	1942
434	1493	1939
435	1495	1934
436	1496	1928
437	1499	1923
438	1503	1920
439	1507	1918
440	1510	1914
441	1512	1908
442	1514	1903
443	1518	1901
444	1521	1897
445	1525	1895
446	1528	1890
447	1532	1888
448	1537	1886
449	1540	1883
450	1542	1877
451	1547	1875
452	1553	1875
453	1555	1870
454	1557	1866
455	1562	1864
456	1565	1860
457	1568	1856
458	1571	1851
459	1582	1858
460	1585	1853
461	1587	1848
462	1589	1843
463	1594	1841
464	1598	1839
465	1601	1835
466	1603	1830
467	1605	1825
468	1611	1824
469	1614	1821
470	1617	1816
471	1620	1812
472	1625	1811
473	1628	1807
474	1632	1803
475	1638	1803
476	1640	1798
477	1642	1794
478	1648	1792
479	1658	1797
480	1661	1792
481	1663	1787
482	1666	1783
483	1671	1782
484	1676	1779
485	1678	1775
486	1682	1772
487	1686	1769
488	1689	1765
489	1691	1760
490	1694	1756
491	1700	1756
492	1703	1751
493	1705	1746
494	1707	1742
495	1715	1743
496	1718	1739
497	1721	1735
498	1723	1730
499	1725	1725
500	1729	1723
501	1734	1721
502	1737	1716
503	1740	1712
504	1746	1711
505	1748	1707
506	1751	1702
507	1753	1698
508	1762	1700
509	1764	1695
510	1766	1690
511	1768	1685
512	1773	1683
513	1777	1680
514	1780	1676
515	1784	1673
516	1788	1671
517	1794	1670
518	1797	1666
519	1801	1662
520	1805	1659
521	1807	1655
522	1809	1650
523	1812	1646
524	1818	1645
525	1820	1640
526	1823	1636
527	1826	1632
528	1828	1628
529	1833	1625
530	1837	1622
531	1839	1618
532	1841	1613
533	1843	1608
534	1846	1605
535	1853	1604
536	1856	1600
537	1858	1596
538	1865	1595
539	1869	1592
540	1872	1588
541	1875	1584
542	1878	1581
543	1881	1576
544	1883	1572
545	1887	1569
546	1893	1568
547	1898	1565
548	1901	1562
549	1904	1557
550	1912	1558
551	1914	1554
552	1917	1549
553	1920	1545
554	1926	1544
555	1929	1540
556	1931	1536
557	1934	1532
558	1936	1528
559	1941	1525
560	1943	1520
561	1944	1515
562	1946	1510
563	1947	1505
564	1956	1506
565	1958	1501
566	1960	1497
567	1962	1492
568	1964	1488
569	1969	1485
570	1971	1480
571	1973	1476
572	1975	1471
573	1977	1467
574	1979	1463
575	1982	1459
576	1984	1454
577	1986	1450
578	1990	1447
579	1992	1443
580	1995	1438
581	1998	1435
582	2001	1431
583	2004	1427
584	2006	1423
585	2008	1418
586	2010	1414
